Rank,Exam_Score,Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Tutoring_Sessions,Teacher_Quality
1626,69,22,82,Yes,7,1,
1626,69,17,93,No,6,1,Medium
1626,69,22,84,No,7,1,Low
1626,69,24,97,No,7,1,Medium
1626,69,19,93,No,6,0,High
1626,69,18,89,Yes,5,4,Low
1626,69,20,83,No,7,3,High
1626,69,19,81,No,8,3,Medium
1626,69,18,94,No,6,2,Medium
1626,69,24,73,Yes,7,3,High
1626,69,19,84,Yes,8,2,High
1626,69,24,95,Yes,6,3,Medium
1626,69,30,75,No,8,1,Medium
1626,69,21,92,Yes,4,1,Medium
1626,69,20,89,Yes,9,3,Medium
1626,69,20,84,Yes,10,2,Medium
1626,69,22,86,Yes,5,2,Medium
1626,69,16,81,Yes,7,3,High
1626,69,24,91,Yes,7,2,High
1626,69,11,93,No,9,4,High
1626,69,12,94,Yes,6,3,High
1626,69,20,93,Yes,4,1,Medium
1626,69,21,97,Yes,7,0,Medium
1626,69,17,93,Yes,9,3,High
1626,69,34,63,Yes,9,2,High
1626,69,17,96,Yes,6,1,Medium
1626,69,19,89,Yes,5,4,Medium
1626,69,16,91,No,8,2,High
1626,69,31,73,Yes,8,2,High
1626,69,27,76,Yes,8,1,Medium
1626,69,12,95,No,8,4,High
1626,69,24,98,No,9,3,Low
1626,69,27,82,Yes,5,1,High
1626,69,20,89,Yes,6,1,High
1626,69,19,87,Yes,8,1,High
1626,69,22,82,No,10,1,High
1626,69,23,94,Yes,8,2,Medium
1626,69,20,95,Yes,7,3,Medium
1626,69,19,95,No,10,2,Medium
1626,69,24,78,Yes,10,2,Medium
1626,69,30,79,No,8,3,Medium
1626,69,18,94,Yes,7,1,Medium
1626,69,20,87,No,7,3,Medium
1626,69,20,89,Yes,7,3,Medium
1626,69,29,80,No,5,0,High
1626,69,18,88,Yes,8,1,Medium
1626,69,26,80,Yes,8,2,Low
1626,69,24,80,No,6,1,High
1626,69,22,79,Yes,7,0,Medium
1626,69,20,84,Yes,10,0,Medium
1626,69,26,66,No,6,3,
1626,69,24,63,Yes,9,4,Medium
1626,69,26,78,Yes,7,4,Medium
1626,69,30,61,No,10,4,Medium
1626,69,28,64,Yes,6,2,Medium
1626,69,25,83,Yes,6,0,Low
1626,69,19,96,No,7,0,Medium
1626,69,13,93,Yes,8,1,Medium
1626,69,10,98,Yes,6,2,Medium
1626,69,21,80,No,7,3,High
1626,69,27,91,Yes,9,0,Low
1626,69,19,94,Yes,10,1,High
1626,69,26,89,No,6,1,Medium
1626,69,30,84,No,8,1,Medium
1626,69,17,95,No,5,2,Medium
1626,69,16,86,Yes,7,2,High
1626,69,18,91,No,8,1,Medium
1626,69,16,99,Yes,5,0,High
1626,69,26,78,Yes,5,1,High
1626,69,20,91,Yes,6,1,Medium
1626,69,23,92,No,7,0,Medium
1626,69,20,79,Yes,7,2,Medium
1626,69,19,89,Yes,4,1,Medium
1626,69,21,97,Yes,9,0,Medium
1626,69,19,97,No,7,2,Low
1626,69,12,99,No,6,2,Medium
1626,69,16,85,Yes,7,0,Medium
1626,69,24,91,Yes,6,0,Medium
1626,69,28,82,Yes,5,0,Low
1626,69,32,88,No,8,3,High
1626,69,21,91,No,5,3,Medium
1626,69,23,81,No,7,1,Medium
1626,69,26,92,Yes,6,1,Medium
1626,69,12,100,No,7,1,High
1626,69,17,96,No,7,1,High
1626,69,27,89,No,4,2,Low
1626,69,20,92,Yes,8,1,Medium
1626,69,19,86,No,8,2,Medium
1626,69,28,82,Yes,6,1,Medium
1626,69,35,83,No,6,1,Medium
1626,69,24,72,Yes,7,3,Medium
1626,69,15,92,Yes,5,0,Low
1626,69,22,84,Yes,5,0,High
1626,69,19,85,Yes,9,1,High
1626,69,15,86,Yes,8,0,Medium
1626,69,20,90,No,4,3,Medium
1626,69,23,90,Yes,6,1,Medium
1626,69,23,80,Yes,9,4,Medium
1626,69,14,98,Yes,10,1,Medium
1626,69,15,98,No,8,2,High
1626,69,18,69,Yes,7,2,Medium
1626,69,15,86,Yes,10,0,Medium
1626,69,17,91,Yes,8,3,Low
1626,69,16,96,No,6,1,High
1626,69,14,96,Yes,9,2,High
1626,69,18,99,No,6,0,Medium
1626,69,17,82,No,5,3,Medium
1626,69,24,75,Yes,9,0,High
1626,69,22,93,Yes,6,0,Low
1626,69,21,80,Yes,4,1,High
1626,69,18,89,No,5,3,Medium
1626,69,30,87,No,7,2,Medium
1626,69,27,78,Yes,5,0,Low
1626,69,23,85,No,7,2,Medium
1626,69,19,92,No,8,2,Medium
1626,69,20,82,Yes,9,1,Medium
1626,69,15,80,Yes,5,4,High
1626,69,15,95,Yes,8,2,
1626,69,25,73,Yes,6,3,Medium
1626,69,23,91,No,6,2,Medium
1626,69,22,82,No,6,3,High
1626,69,28,91,Yes,5,2,Medium
1626,69,18,91,No,7,3,Medium
1626,69,26,84,No,7,2,High
1626,69,19,87,No,8,3,Medium
1626,69,30,77,Yes,8,1,Low
1626,69,22,79,No,6,2,
1626,69,23,93,Yes,9,0,Medium
1626,69,17,97,Yes,6,2,Low
1626,69,24,81,Yes,6,3,Medium
1626,69,23,99,No,9,0,Medium
1626,69,24,71,Yes,10,2,Medium
1626,69,14,81,No,4,3,High
1626,69,27,80,Yes,5,3,Medium
1626,69,21,95,No,9,1,Medium
1626,69,22,88,Yes,10,2,High
1626,69,23,77,Yes,5,2,High
1626,69,19,91,Yes,8,4,Medium
1626,69,24,98,No,6,2,Low
1626,69,26,75,No,8,1,Medium
1626,69,23,80,Yes,7,1,High
1626,69,23,81,No,8,5,Medium
1626,69,26,68,No,8,1,High
1626,69,19,95,Yes,9,2,Medium
1626,69,24,80,Yes,7,0,High
1626,69,26,80,No,8,1,Medium
1626,69,21,77,No,7,3,High
1626,69,21,79,Yes,8,2,High
1626,69,15,89,Yes,8,2,High
1626,69,19,98,Yes,7,1,Medium
1626,69,19,96,No,5,1,Medium
1626,69,24,94,Yes,6,1,High
1626,69,24,84,Yes,6,2,High
1626,69,19,78,No,7,2,Medium
1626,69,27,82,Yes,6,2,High
1626,69,29,63,Yes,8,0,High
1626,69,20,90,No,6,3,High
1626,69,19,85,No,7,2,High
1626,69,28,74,Yes,9,0,High
1626,69,23,88,No,6,0,Medium
1626,69,25,86,Yes,6,3,Medium
1626,69,17,96,No,6,1,Medium
1626,69,19,74,Yes,6,2,Medium
1626,69,25,72,Yes,6,8,High
1626,69,20,94,Yes,10,1,High
1626,69,21,82,Yes,7,0,Medium
1626,69,15,78,Yes,9,1,High
1626,69,12,90,Yes,6,2,Medium
1626,69,22,63,Yes,8,5,Medium
1626,69,25,96,No,9,0,Medium
1626,69,22,93,Yes,6,1,Medium
1626,69,16,95,Yes,6,0,High
1626,69,25,95,No,8,4,Medium
1626,69,29,71,No,7,1,Medium
1626,69,26,89,No,7,0,Low
1626,69,23,84,Yes,7,1,High
1626,69,25,70,Yes,7,1,High
1626,69,18,96,No,7,2,Medium
1626,69,22,84,Yes,5,2,High
1626,69,14,88,Yes,7,4,High
1626,69,22,77,Yes,7,2,Medium
1626,69,14,90,Yes,7,2,Medium
1626,69,19,89,Yes,6,1,High
1626,69,30,67,Yes,8,1,Medium
1626,69,22,75,Yes,8,3,Medium
1626,69,22,91,Yes,7,1,High
1626,69,20,93,No,7,1,Low
1626,69,21,96,Yes,4,1,Low
1626,69,20,75,Yes,7,1,High
1626,69,25,93,No,8,0,Low
1626,69,23,94,Yes,9,2,Medium
1626,69,38,63,No,8,1,Medium
1626,69,33,61,No,6,1,Medium
1626,69,20,97,Yes,5,0,
1626,69,12,98,Yes,8,5,Medium
1626,69,20,95,No,6,0,High
1626,69,17,87,Yes,9,0,High
1626,69,16,97,Yes,8,0,High
1626,69,19,84,Yes,6,3,High
1626,69,15,97,Yes,6,2,Medium
1626,69,17,98,No,4,2,Low
1626,69,14,93,No,8,2,Medium
1626,69,25,91,No,7,1,High
1626,69,23,97,Yes,5,0,Low
1626,69,24,86,No,7,2,Medium
1626,69,14,92,Yes,9,1,Low
1626,69,13,97,No,8,1,Medium
1626,69,16,90,No,6,2,Medium
1626,69,17,93,Yes,7,2,Medium
1626,69,14,100,Yes,8,0,High
1626,69,18,89,Yes,7,1,High
1626,69,22,89,Yes,7,1,Medium
1626,69,24,92,Yes,5,1,Medium
1626,69,29,77,No,9,0,High
1626,69,20,95,Yes,8,1,High
1626,69,23,75,No,8,1,High
1626,69,15,85,No,4,4,High
1626,69,18,93,Yes,8,3,High
1626,69,25,94,Yes,6,1,Medium
1626,69,13,96,No,8,0,Medium
1626,69,21,79,Yes,8,1,High
1626,69,17,87,No,6,2,Medium
1626,69,19,87,No,10,2,Low
1626,69,19,93,Yes,7,1,Medium
1626,69,14,88,Yes,8,2,Medium
1626,69,18,82,No,6,5,High
1626,69,24,89,No,5,3,
1626,69,22,86,Yes,7,1,Medium
1626,69,36,66,Yes,8,1,Medium
1626,69,17,98,No,7,0,Medium
1626,69,18,97,Yes,7,4,Low
1626,69,22,92,No,6,4,Medium
1626,69,29,64,Yes,7,0,Medium
1626,69,21,94,No,7,1,High
1626,69,18,98,Yes,5,0,Medium
1626,69,27,71,Yes,6,2,High
1626,69,22,90,Yes,7,0,Medium
1626,69,30,74,No,10,1,Medium
1626,69,15,76,Yes,5,4,Medium
1626,69,10,97,No,4,1,High
1626,69,20,84,No,6,3,Medium
1626,69,23,75,Yes,6,2,Low
1626,69,21,87,Yes,5,1,Medium
1626,69,24,93,Yes,5,1,Medium
1626,69,18,94,Yes,7,1,High
1626,69,11,99,Yes,7,0,High
1626,69,16,87,Yes,6,2,High
1626,69,19,94,No,7,0,Medium
1626,69,21,93,Yes,6,1,Medium
1626,69,25,76,Yes,7,2,Medium
1626,69,16,98,Yes,8,3,High
1626,69,22,94,Yes,7,0,High
1626,69,30,73,Yes,9,0,Medium
1626,69,23,94,Yes,9,3,Medium
1626,69,21,98,Yes,8,0,Medium
1626,69,15,91,No,6,0,Medium
1626,69,16,89,No,9,2,Low
1626,69,24,77,Yes,6,2,Medium
1626,69,23,96,Yes,8,0,High
1626,69,21,73,Yes,9,2,High
1626,69,23,86,Yes,4,0,High
1626,69,27,75,No,8,4,Medium
1626,69,28,68,Yes,8,1,Medium
1626,69,24,99,Yes,8,1,High
1626,69,24,77,Yes,8,2,High
1626,69,25,85,No,6,2,High
1626,69,27,83,No,10,0,Low
1626,69,14,89,No,6,2,Medium
1626,69,27,75,No,10,3,Medium
1626,69,20,63,Yes,5,2,High
1626,69,21,87,Yes,8,1,Low
1626,69,20,89,Yes,8,2,Medium
1626,69,34,77,No,9,0,Medium
1626,69,25,89,Yes,6,2,Medium
1626,69,23,97,No,7,3,Medium
1626,69,19,92,Yes,6,2,Medium
1626,69,13,99,Yes,6,0,Medium
1626,69,21,95,No,7,1,High
1626,69,18,81,No,6,1,
1626,69,17,97,No,5,2,Medium
1626,69,14,85,Yes,5,2,High
1626,69,19,82,Yes,8,2,Medium
1626,69,13,100,No,6,0,Low
1626,69,19,95,Yes,7,0,High
1626,69,20,79,Yes,7,2,Medium
1626,69,22,88,Yes,7,3,Medium
1626,69,12,94,No,5,1,Medium
1626,69,27,84,No,8,0,Medium
1626,69,22,91,Yes,7,0,High
1626,69,19,98,Yes,6,3,Medium
1626,69,20,86,No,7,3,Low
1626,69,27,78,No,8,0,Medium
1626,69,12,98,No,4,3,High
1626,69,20,94,Yes,6,1,Medium
1626,69,21,89,No,9,0,Medium
1626,69,20,76,Yes,5,3,High
1626,69,22,83,Yes,6,2,Medium
1626,69,19,91,No,7,3,High
1626,69,26,71,Yes,7,3,Medium
1626,69,23,90,No,5,2,Medium
1626,69,23,79,Yes,7,0,High
1626,69,21,99,Yes,9,1,High
1626,69,19,97,Yes,10,3,High
1626,69,19,100,Yes,9,1,Medium
1626,69,13,90,No,4,1,Medium
1626,69,23,87,No,6,1,High
1626,69,18,89,Yes,6,3,High
1626,69,25,87,Yes,10,4,Low
1626,69,23,92,Yes,10,1,Medium
1626,69,21,91,Yes,9,2,Medium
1626,69,19,83,No,6,5,Medium
1626,69,26,68,Yes,10,4,Medium
1626,69,18,79,Yes,6,3,Medium
1626,69,30,79,No,9,1,Medium
1626,69,19,99,No,6,0,Low
1626,69,18,92,No,4,3,Medium
1626,69,21,75,No,7,1,High
1626,69,9,97,No,6,5,Medium
1626,69,31,85,Yes,9,0,High
1626,69,30,76,Yes,7,1,High
1626,69,17,83,Yes,6,0,Medium
1626,69,11,95,Yes,5,1,High
1626,69,18,84,Yes,8,0,High
1626,69,28,73,Yes,6,0,High
1626,69,19,91,No,8,1,Medium
1626,69,9,98,No,7,2,Medium
1626,69,21,81,Yes,7,1,Medium
1626,69,19,85,Yes,9,1,Medium
1626,69,18,76,No,5,2,High
1626,69,21,95,Yes,8,1,Medium
1626,69,31,84,No,5,2,High
1626,69,22,95,No,5,0,Low
1626,69,12,96,No,9,2,High
1626,69,20,90,Yes,4,1,Low
1626,69,24,82,No,9,3,Medium
1626,69,21,89,Yes,7,1,Medium
1626,69,21,91,No,5,1,Medium
1626,69,33,63,Yes,9,1,Medium
1626,69,16,97,No,7,4,High
1626,69,32,85,Yes,9,2,Medium
1626,69,26,90,Yes,8,0,Low
1626,69,24,79,No,7,0,Medium
1626,69,25,82,No,8,1,Medium
1626,69,26,74,No,5,2,High
1626,69,14,88,Yes,6,0,Medium
1626,69,28,71,Yes,9,1,High
1626,69,17,97,No,7,1,High
1626,69,27,91,Yes,9,0,Medium
1626,69,29,71,Yes,6,1,Medium
1626,69,28,78,Yes,4,2,Low
1626,69,13,98,Yes,7,1,Low
1626,69,27,69,Yes,7,2,High
1626,69,23,85,Yes,7,2,Medium
1626,69,21,79,Yes,7,2,Medium
1626,69,22,73,Yes,4,3,Medium
1626,69,25,81,Yes,8,0,High
1626,69,22,95,No,7,2,Medium
1626,69,20,98,No,9,0,Medium
1626,69,25,82,Yes,8,0,Medium
1626,69,30,63,No,8,1,High
1626,69,13,91,Yes,10,2,Medium
1626,69,24,80,No,6,1,Medium
1626,69,26,71,No,8,1,High
1626,69,14,94,Yes,7,2,High
1626,69,22,91,Yes,10,2,Medium
1626,69,21,95,Yes,8,0,High
1626,69,15,98,Yes,9,1,High
1626,69,21,78,Yes,6,0,Medium
1626,69,28,71,No,8,2,Medium
1626,69,25,87,Yes,7,1,Medium
1626,69,17,95,No,5,1,Medium
1626,69,29,74,No,8,0,High
1626,69,20,100,Yes,8,0,Medium
1626,69,20,93,No,7,0,High
1626,69,7,97,No,6,3,High
1626,69,19,96,Yes,5,3,Medium
1626,69,26,81,Yes,9,3,Medium
1626,69,28,64,Yes,7,3,High
1626,69,17,83,Yes,6,0,Medium
1626,69,16,94,No,7,0,Medium
1626,69,17,95,No,5,2,High
1626,69,16,82,Yes,6,3,Medium
1626,69,20,98,No,7,4,High
1626,69,24,92,Yes,5,2,Medium
1626,69,14,84,Yes,6,2,Medium
1626,69,14,98,Yes,8,0,Medium
1626,69,15,93,Yes,9,1,Medium
1626,69,26,79,No,7,1,Medium
1626,69,20,78,Yes,10,1,High
1626,69,20,85,Yes,9,3,Medium
1626,69,23,81,No,6,2,High
1626,69,21,73,No,7,0,High
1626,69,23,67,Yes,6,2,Medium
1626,69,15,95,Yes,9,2,High
1626,69,22,81,Yes,9,2,Low
1626,69,8,97,Yes,8,2,Medium
1626,69,16,100,No,10,1,Medium
1626,69,24,80,No,9,3,Medium
1626,69,22,80,Yes,9,2,Medium
1626,69,21,79,Yes,8,0,Medium
1626,69,26,94,No,8,1,Medium
1626,69,17,99,No,5,2,Medium
1626,69,27,89,No,5,0,Medium
1626,69,16,83,Yes,9,2,High
1626,69,16,98,No,8,2,Medium
1626,69,26,94,Yes,5,0,High
1626,69,26,82,Yes,7,0,High
1626,69,23,80,No,9,1,High
1626,69,21,79,Yes,7,2,Medium
1626,69,19,83,No,8,3,Medium
1626,69,16,95,Yes,8,0,Low
1626,69,21,93,No,6,2,Medium
1626,69,25,72,Yes,6,4,High
1626,69,30,83,Yes,4,0,Medium
1626,69,20,99,No,8,1,Medium
1626,69,24,93,Yes,8,1,Medium
1626,69,22,90,Yes,9,0,Medium
1626,69,13,99,No,7,1,Medium
1626,69,21,86,No,8,0,High
1626,69,29,78,Yes,9,2,Medium
1626,69,18,100,No,9,1,Medium
1626,69,20,88,Yes,7,0,High
1626,69,23,76,Yes,8,0,Low
1626,69,25,78,Yes,8,3,Medium
1626,69,21,83,No,6,2,High
1626,69,19,92,Yes,7,0,High
1626,69,26,82,No,7,1,Medium
1626,69,16,91,Yes,5,2,Medium
1626,69,21,97,No,7,0,Medium
1626,69,22,80,No,7,1,Medium
1626,69,25,85,Yes,10,0,Low
1626,69,23,88,Yes,8,2,High
1626,69,10,81,Yes,8,5,High
1626,69,27,74,No,7,1,Medium
1626,69,24,88,Yes,6,0,Medium
1626,69,22,82,No,8,2,Medium
1626,69,21,80,Yes,6,2,High
1626,69,17,98,No,9,0,Medium
1626,69,15,92,Yes,7,1,High
1626,69,18,68,Yes,7,3,Medium
1626,69,17,92,Yes,8,2,Medium
1626,69,18,89,No,5,5,High
1626,69,30,67,No,7,2,Medium
1626,69,20,95,No,7,1,High
1626,69,24,71,Yes,9,3,High
1626,69,21,86,Yes,9,2,High
1626,69,15,87,Yes,8,0,Medium
1626,69,18,93,Yes,6,1,Medium
1626,69,20,99,No,9,1,High
1626,69,24,80,Yes,7,2,Medium
1626,69,15,95,Yes,9,2,Medium
1626,69,17,96,No,9,3,Medium
1626,69,20,92,No,6,0,Medium
1626,69,26,73,No,8,4,Low
1626,69,16,67,Yes,4,5,High
1626,69,20,95,Yes,7,1,Low
1626,69,18,81,Yes,6,3,Medium
1626,69,17,95,No,7,1,Medium
1626,69,18,98,No,7,0,Medium
1626,69,16,94,Yes,6,3,High
1626,69,16,90,Yes,5,1,Medium
1626,69,26,84,No,7,1,High
1626,69,30,96,Yes,4,0,Low
1626,69,11,97,No,7,1,Medium
1626,69,20,90,No,7,0,High
1626,69,24,76,No,8,1,Medium
1626,69,31,68,No,9,3,High
1626,69,29,68,Yes,5,3,High
1626,69,19,63,No,6,4,Medium
1626,69,23,91,No,6,2,High
1626,69,30,71,No,9,2,Medium
1626,69,15,99,No,7,1,Medium
1626,69,25,71,Yes,7,2,Medium
1626,69,29,81,Yes,7,1,Medium
1626,69,20,95,No,8,1,Medium
1626,69,18,90,No,7,4,Medium
1626,69,24,82,Yes,5,0,Medium
1626,69,26,83,No,10,1,Medium
1626,69,15,88,Yes,7,4,Medium
1626,69,23,83,No,5,3,Medium
1626,69,17,93,No,8,2,High
1626,69,23,88,No,7,3,High
1626,69,31,64,No,6,1,High
1626,69,22,95,No,5,2,High
1626,69,18,82,Yes,8,3,Medium
1626,69,27,79,Yes,8,2,Medium
1626,69,15,92,Yes,9,1,High
1626,69,16,100,Yes,7,1,Medium
1626,69,16,98,Yes,8,0,High
1626,69,28,77,No,6,0,Medium
1626,69,19,96,Yes,7,1,Medium
1626,69,26,94,Yes,9,2,Medium
1626,69,20,91,No,7,1,Medium
1626,69,15,91,Yes,4,1,High
1626,69,18,90,No,7,2,Low
1626,69,21,73,Yes,8,1,High
1626,69,33,78,No,7,1,High
1626,69,24,86,Yes,7,1,Medium
1626,69,23,63,No,7,2,High
1626,69,23,91,Yes,7,2,High
1626,69,21,93,Yes,6,1,Medium
1626,69,16,93,Yes,7,2,High
1626,69,21,85,Yes,6,1,High
1626,69,19,92,Yes,7,2,Medium
1626,69,10,98,No,7,3,Medium
1626,69,17,82,Yes,8,3,High
1626,69,25,88,Yes,8,1,Low
1626,69,18,94,Yes,7,2,High
1626,69,29,76,Yes,9,1,Medium
1626,69,20,96,No,9,2,Low
1626,69,26,80,Yes,4,0,Medium
1626,69,36,82,Yes,7,0,Medium
1626,69,24,98,Yes,6,1,Low
1626,69,18,79,Yes,6,3,Low
1626,69,15,76,Yes,6,4,High
1626,69,16,95,Yes,8,0,Medium
1626,69,15,89,Yes,8,3,High
1626,69,12,96,No,4,3,Medium
1626,69,18,85,Yes,4,0,Medium
1626,69,20,84,Yes,8,0,Medium
1626,69,29,70,Yes,4,2,Medium
1626,69,19,86,Yes,9,1,High
1626,69,26,77,Yes,7,0,Medium
1626,69,18,84,Yes,6,3,Medium
1626,69,21,100,No,5,2,Medium
1626,69,16,100,Yes,8,1,Medium
1626,69,20,91,Yes,6,0,Medium
1626,69,13,85,Yes,7,3,High
1626,69,27,76,Yes,9,3,Medium
1626,69,26,81,Yes,8,1,Low
1626,69,16,84,Yes,6,0,Medium
1626,69,22,85,Yes,6,0,Medium
1626,69,22,88,Yes,6,3,Medium
1626,69,16,79,Yes,8,4,Medium
1626,69,14,81,No,9,3,High
1626,69,21,80,Yes,5,4,Medium
1626,69,21,95,No,7,2,High
1626,69,13,92,No,9,2,Medium
1626,69,19,100,Yes,5,2,Medium
1626,69,19,87,No,4,1,Medium
1626,69,12,92,No,7,2,High
1626,69,11,82,No,7,2,Medium
1626,69,28,78,Yes,7,0,High
1626,69,10,95,Yes,5,0,High
1626,69,21,90,No,8,1,Medium
1626,69,11,97,No,8,2,High
1626,69,15,79,Yes,6,3,Medium
1626,69,17,81,No,6,2,Medium
1626,69,18,88,No,8,0,Medium
1626,69,19,81,Yes,8,0,High
1626,69,25,77,No,7,1,Medium
1626,69,18,93,No,7,1,Medium
1626,69,12,89,Yes,8,4,
1626,69,19,90,No,7,2,Medium
1626,69,25,94,Yes,7,1,High
1626,69,18,83,No,8,0,High
1626,69,26,77,Yes,7,3,Medium
1626,69,23,66,Yes,7,1,High
1626,69,20,89,No,8,2,High
1626,69,27,78,Yes,8,3,Medium
1626,69,24,78,Yes,5,1,Medium
1626,69,28,72,Yes,7,4,Medium
1626,69,20,84,Yes,6,3,Medium
1626,69,19,93,Yes,6,0,High
1626,69,21,84,Yes,8,2,Medium
1626,69,27,91,No,5,0,Medium
1626,69,18,100,Yes,8,3,Medium
1626,69,23,76,No,8,3,High
2250,68,16,92,Yes,7,0,Medium
2250,68,20,89,Yes,6,1,Medium
2250,68,20,97,Yes,8,1,Medium
2250,68,22,65,Yes,4,5,Medium
2250,68,16,82,Yes,6,1,Medium
2250,68,17,97,Yes,8,2,Medium
2250,68,17,96,Yes,9,3,Medium
2250,68,20,87,Yes,7,1,Medium
2250,68,22,74,Yes,5,0,Medium
2250,68,19,97,No,8,2,Medium
2250,68,16,66,Yes,7,5,High
2250,68,23,68,Yes,6,4,Medium
2250,68,17,77,Yes,10,3,High
2250,68,19,67,Yes,8,2,Medium
2250,68,24,86,No,9,0,High
2250,68,17,79,No,5,4,Medium
2250,68,13,85,Yes,6,2,High
2250,68,16,86,No,6,1,Medium
2250,68,28,78,Yes,4,3,Medium
2250,68,20,83,Yes,6,2,High
2250,68,18,85,No,8,0,High
2250,68,21,77,Yes,5,2,High
2250,68,28,73,No,7,3,Medium
2250,68,12,92,Yes,7,1,High
2250,68,11,99,No,10,1,Medium
2250,68,15,99,Yes,5,0,Medium
2250,68,26,70,Yes,5,1,Low
2250,68,15,86,Yes,8,0,High
2250,68,24,84,No,6,1,Medium
2250,68,25,76,Yes,6,0,Medium
2250,68,22,79,Yes,8,0,Medium
2250,68,16,88,Yes,6,2,High
2250,68,14,81,No,9,0,Medium
2250,68,24,83,No,8,1,Medium
2250,68,18,72,No,6,1,High
2250,68,19,89,Yes,6,2,Medium
2250,68,17,85,Yes,7,1,Medium
2250,68,21,81,Yes,7,1,High
2250,68,26,79,Yes,8,1,Medium
2250,68,18,86,No,8,5,High
2250,68,17,82,Yes,10,1,Medium
2250,68,19,82,No,5,1,Medium
2250,68,24,91,Yes,8,1,Medium
2250,68,27,63,Yes,6,1,Medium
2250,68,12,90,Yes,8,3,Medium
2250,68,18,94,Yes,8,1,Medium
2250,68,25,76,Yes,7,3,Medium
2250,68,26,86,No,5,2,High
2250,68,25,83,Yes,8,1,High
2250,68,26,65,Yes,10,1,High
2250,68,20,87,No,5,2,Medium
2250,68,14,74,Yes,6,2,High
2250,68,22,91,No,4,2,High
2250,68,19,74,Yes,8,5,High
2250,68,17,87,Yes,8,3,Low
2250,68,18,89,No,7,2,Medium
2250,68,23,86,No,7,2,High
2250,68,25,66,Yes,7,2,High
2250,68,24,89,Yes,9,1,High
2250,68,20,67,No,9,1,High
2250,68,24,74,Yes,7,3,High
2250,68,19,77,Yes,6,1,High
2250,68,16,85,Yes,8,2,Medium
2250,68,19,83,No,6,0,Medium
2250,68,24,94,No,8,0,Medium
2250,68,17,90,Yes,5,1,Medium
2250,68,27,64,Yes,7,3,Medium
2250,68,18,79,Yes,8,3,Low
2250,68,28,89,No,6,1,Low
2250,68,22,72,Yes,7,5,Medium
2250,68,15,86,No,8,3,Medium
2250,68,24,68,Yes,5,1,Medium
2250,68,24,86,Yes,7,0,High
2250,68,33,66,No,8,2,Low
2250,68,25,65,Yes,4,1,Medium
2250,68,21,77,Yes,8,2,Medium
2250,68,14,95,No,7,2,Low
2250,68,23,66,Yes,7,1,Medium
2250,68,25,93,No,5,0,Medium
2250,68,17,85,Yes,6,0,High
2250,68,25,81,No,8,1,Medium
2250,68,23,81,No,9,2,High
2250,68,18,85,Yes,6,1,Medium
2250,68,8,99,Yes,6,1,
2250,68,12,86,Yes,5,2,Medium
2250,68,21,93,No,9,0,High
2250,68,16,78,Yes,4,5,Medium
2250,68,19,97,No,9,0,Medium
2250,68,27,76,No,9,1,Medium
2250,68,24,80,Yes,7,1,High
2250,68,11,95,Yes,6,2,Low
2250,68,24,77,No,8,2,Medium
2250,68,21,83,No,7,2,Low
2250,68,27,80,Yes,7,4,Medium
2250,68,22,78,Yes,5,2,Medium
2250,68,13,96,No,6,1,High
2250,68,18,98,Yes,7,0,High
2250,68,27,81,No,7,0,Medium
2250,68,26,66,Yes,5,1,Medium
2250,68,18,95,Yes,6,1,High
2250,68,22,75,No,6,4,High
2250,68,19,79,Yes,9,0,Medium
2250,68,14,91,Yes,8,2,Medium
2250,68,18,91,No,7,0,Medium
2250,68,21,93,No,7,2,Medium
2250,68,23,99,No,6,1,Medium
2250,68,21,82,No,5,3,Low
2250,68,19,82,No,8,2,High
2250,68,29,76,Yes,8,2,Medium
2250,68,18,98,No,9,1,Medium
2250,68,19,93,No,7,0,Low
2250,68,25,75,Yes,7,0,High
2250,68,14,84,Yes,9,1,Medium
2250,68,24,77,Yes,6,2,High
2250,68,27,68,No,8,0,Medium
2250,68,27,74,No,6,2,Medium
2250,68,22,78,Yes,8,2,Medium
2250,68,11,95,Yes,7,4,Medium
2250,68,20,71,Yes,6,2,Low
2250,68,25,79,No,6,2,High
2250,68,8,96,Yes,8,1,Medium
2250,68,15,78,No,8,1,Medium
2250,68,23,87,No,8,0,High
2250,68,17,76,Yes,8,3,Medium
2250,68,21,89,No,6,1,Medium
2250,68,17,84,No,9,1,Medium
2250,68,29,75,Yes,7,2,
2250,68,28,61,Yes,4,1,High
2250,68,22,74,Yes,9,3,Medium
2250,68,26,74,Yes,8,2,High
2250,68,18,90,Yes,5,5,Medium
2250,68,21,93,Yes,8,0,Medium
2250,68,25,66,Yes,6,2,Medium
2250,68,16,92,Yes,8,2,Medium
2250,68,20,82,No,6,3,Medium
2250,68,27,76,No,9,1,Medium
2250,68,15,81,Yes,7,1,Medium
2250,68,11,91,Yes,6,4,Medium
2250,68,20,79,Yes,8,1,High
2250,68,18,83,No,4,3,Medium
2250,68,19,91,No,6,2,High
2250,68,28,76,Yes,6,3,Medium
2250,68,25,69,No,7,1,Medium
2250,68,20,90,Yes,6,3,Medium
2250,68,10,86,Yes,6,2,Medium
2250,68,17,80,No,8,4,High
2250,68,25,65,No,5,2,Medium
2250,68,11,98,Yes,9,1,Medium
2250,68,17,78,Yes,6,1,High
